Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C7",0402,7,100nF,C307331
C6,0603,1,10uF,C96446
"C8, C9",0402,2,1uF,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D5, D6, D7, D8, D9",D_SOD-123-hidden-ref,39,D_Small,C81598
D99,SOT-143,1,PRTR5V0U2X,C2827688
F1,1206,1,ASMD1206-150,C135341
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
L1,1206,1,60R@100MHz,C33600
"LED1, LED10, LED11, LED12, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,12,SK6812mini,C2886570
"MX1, MX10, MX12, MX13, MX15, MX16, MX17, MX18, MX19, MX20, MX21, MX22, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX39, MX4, MX5, MX50, MX51, MX6, MX61, MX62, MX63, MX64, MX65, MX66, MX67, MX68, MX7, MX8, MX9",SW_MX_1u,43,MX_SW_solder,
"MX11, MX2, MX42, MX47",SW_MX_1.5u,4,MX_SW_solder,
"MX14, MX23, MX37, MX38, MX40, MX41, MX43, MX46",SW_MX_1.25u,8,MX_SW_solder,
"MX44, MX45",SW_MX_1.75u,2,MX_SW_solder,
"R1, R2, R3, R4",0402,4,5.1k,C25905
S1,STAB_MX_ISO,1,MX_stab,
"S2, S5, S6",STAB_MX_3u,3,MX_stab,
"S3, S4",STAB_MX_2u,2,MX_stab,
SW0,SW_SPST_SKQG_WithoutStem,1,SKQGABE010,C318884
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U2,SOT-23,1,XC6206P332MR-Regulator_Linear,C5446
