Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation
C1,C_0402_1005Metric,150.01875,-71.449669,bottom,0
C2,C_0402_1005Metric,156.991552,-67.805647,bottom,90
C3,C_0402_1005Metric,153.917092,-71.518524,bottom,-90
C4,C_0402_1005Metric,153.516667,-58.998702,bottom,180
C5,C_0402_1005Metric,144.866794,-62.379347,bottom,180
C6,C_0603_1608Metric,145.842972,-61.149876,bottom,180
C7,C_0402_1005Metric,151.506144,-71.538185,bottom,-90
C8,C_0402_1005Metric,95.989824,-52.075515,bottom,90
C9,C_0402_1005Metric,101.6,-50.48625,bottom,-90
C10,C_0402_1005Metric,93.254556,-51.459534,bottom,90
D1,D_SOD-123-hidden-ref,231.29875,-59.69,bottom,-90
D2,D_SOD-123-hidden-ref,220.9798,-56.51495,bottom,90
D3,D_SOD-123-hidden-ref,201.9298,-56.51495,bottom,90
D4,D_SOD-123-hidden-ref,182.8798,-56.51495,bottom,90
D5,D_SOD-123-hidden-ref,163.8298,-56.51495,bottom,90
D6,D_SOD-123-hidden-ref,144.7798,-56.51495,bottom,90
D7,D_SOD-123-hidden-ref,125.7298,-56.51495,bottom,90
D8,D_SOD-123-hidden-ref,106.603324,-56.41875,bottom,90
D9,D_SOD-123-hidden-ref,71.755,-59.69,bottom,-90
D10,D_SOD-123-hidden-ref,78.89875,-59.69,bottom,-90
D11,D_SOD-123-hidden-ref,244.95125,-81.75625,bottom,90
D12,D_SOD-123-hidden-ref,225.7423,-75.56495,bottom,90
D13,D_SOD-123-hidden-ref,206.6923,-75.56495,bottom,90
D14,D_SOD-123-hidden-ref,168.5923,-75.56495,bottom,90
D15,D_SOD-123-hidden-ref,187.6423,-75.56495,bottom,90
D16,D_SOD-123-hidden-ref,140.0173,-75.56495,bottom,90
D17,D_SOD-123-hidden-ref,120.9673,-75.56495,bottom,90
D18,D_SOD-123-hidden-ref,101.9173,-75.56495,bottom,90
D19,D_SOD-123-hidden-ref,67.945,-75.40625,bottom,90
D20,D_SOD-123-hidden-ref,82.8673,-75.56495,bottom,90
D21,D_SOD-123-hidden-ref,249.5548,-94.61495,bottom,90
D22,D_SOD-123-hidden-ref,217.01125,-103.34625,bottom,-90
D23,D_SOD-123-hidden-ref,230.5048,-94.61495,bottom,90
D24,D_SOD-123-hidden-ref,194.78625,-103.28375,bottom,-90
D25,D_SOD-123-hidden-ref,192.4048,-94.61495,bottom,90
D26,D_SOD-123-hidden-ref,211.4548,-94.61495,bottom,90
D27,D_SOD-123-hidden-ref,173.3548,-94.61495,bottom,90
D28,D_SOD-123-hidden-ref,164.62375,-103.28375,bottom,-90
D29,D_SOD-123-hidden-ref,178.91125,-103.28375,bottom,-90
D30,D_SOD-123-hidden-ref,159.0675,-94.615,bottom,90
D31,D_SOD-123-hidden-ref,151.128335,-106.16916,bottom,-90
D32,D_SOD-123-hidden-ref,126.741453,-103.28375,bottom,-90
D33,D_SOD-123-hidden-ref,135.2548,-94.61495,bottom,90
D34,D_SOD-123-hidden-ref,116.2048,-94.61495,bottom,90
D35,D_SOD-123-hidden-ref,99.53625,-103.28375,bottom,-90
D36,D_SOD-123-hidden-ref,110.64875,-103.28375,bottom,-90
D37,D_SOD-123-hidden-ref,97.1548,-94.61495,bottom,90
D38,D_SOD-123-hidden-ref,78.1048,-94.61495,bottom,90
D39,D_SOD-123-hidden-ref,59.0548,-94.61495,bottom,90
D99,SOT-143,91.618207,-49.00625,bottom,90
F1,Fuse_1206_3216Metric,91.59875,-54.58125,bottom,90
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,84.468818,-48.114156,bottom,0
L1,L_1206_3216Metric,74.6125,-50.8,bottom,0
LED1,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,249.555,-64.931909,bottom,180
LED2,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,208.28,-64.931909,bottom,180
LED3,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,170.18,-64.931909,bottom,180
LED4,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,132.08,-64.931909,bottom,180
LED5,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,93.98,-64.931909,bottom,180
LED6,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,53.49875,-64.931909,bottom,180
LED7,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,53.49875,-84.29625,bottom,0
LED8,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,93.18625,-99.3775,bottom,0
LED9,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,132.08,-99.3775,bottom,0
LED10,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,170.18,-99.3775,bottom,0
LED11,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,209.07375,-99.3775,bottom,0
LED12,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,249.555,-84.29625,bottom,0
R1,R_0402_1005Metric,155.910378,-81.623507,bottom,-90
R2,R_0402_1005Metric,155.910378,-79.699457,bottom,-90
R3,R_0402_1005Metric,81.536,-54.1274,bottom,0
R4,R_0402_1005Metric,87.717917,-53.90423,bottom,180
SW0,SW_SPST_SKQG_WithoutStem,151.13,-81.12125,bottom,0
U1,LQFP-48_7x7mm_P0.5mm,151.129002,-65.078172,bottom,90
U2,SOT-23,98.425,-50.00625,bottom,180
